First Launched,Last Used,Location ID,Location Name,Neighbourhood,City,Region,Latitude,Longitude,,Notes:
8/6/03 11:30,3/18/10 11:30,66,Ridge Theatre,Kitsilano,Vancouver,Lower Mainland,49.25827,-123.153957,,
8/6/03 0:00,,65,Crystal Court,West End,Vancouver,Lower Mainland,49.283051,-123.137989,,
7/15/03 17:30,,64,Renfrew SkyTrain,Renfrew-Collingwood,Vancouver,Lower Mainland,49.259109,-123.044948,,
6/18/03 2:00,,63,22nd Street SkyTrain,Connaught Heights,New Westminster,Lower Mainland,49.200451,-122.94874,,
5/14/03 15:00,1/7/10 23:00,55,Grace Court,West End,Vancouver,Lower Mainland,49.286987,-123.136338,,
5/8/03 18:30,,62,Richards & Smithe,Downtown Vancouver,Vancouver,Lower Mainland,49.279401,-123.118368,,
4/29/03 19:30,,61,Knightsbridge,West End,Vancouver,Lower Mainland,49.29308,-123.136453,,
4/18/03 17:00,,60,1454 Pendrell @ Broughton,West End,Vancouver,Lower Mainland,49.284538,-123.13618,,
4/17/03 19:30,,59,South Granville Park,Fairview,Vancouver,Lower Mainland,49.259071,-123.14233,,
4/12/03 4:00,,58,E 5th & Scotia,Mount Pleasant,Vancouver,Lower Mainland,49.26635,-123.098172,,
3/11/03 23:00,,57,La Contessa,Grandview-Woodland,Vancouver,Lower Mainland,49.267791,-123.074858,,
2/18/03 14:00,,56,The Castings,False Creek,Vancouver,Lower Mainland,49.266706,-123.131124,,
10/11/02 7:30,,54,Yanviriya,Grandview-Woodland,Vancouver,Lower Mainland,49.27994,-123.063629,,
9/30/02 6:30,,52,Prince Albert,Mount Pleasant,Vancouver,Lower Mainland,49.257353,-123.087019,,
2/11/02 17:00,,50,Oceanic-Harwood,West End,Vancouver,Lower Mainland,49.281991,-123.137046,,
12/6/01 21:00,3/16/06 14:00,53,Courtenay,Courtenay,Courtenay,Comox Valley,49.685922,-124.995114,,
11/29/01 2:30,,23,W 17th & Tupper,South Cambie,Vancouver,Lower Mainland,49.256142,-123.116197,,
,3/9/09 12:00,51,Cortes,Cortes Island,Cortes Island,Strathcona,50.076065,-124.954609,,
,,14,Acadia Road,East Campus,UBC,Lower Mainland,49.263642,-123.236175,,
,,43,Metrotown SkyTrain,Metrotown,Burnaby,Lower Mainland,49.225816,-123.004716,,
,,47,Waterfront,Downtown Vancouver,Vancouver,Lower Mainland,49.285728,-123.112525,,
,8/31/09 7:00,2,The Breakers,West End,Vancouver,Lower Mainland,49.289926,-123.142445,,
,,21,Santana,West End,Vancouver,Lower Mainland,49.282481,-123.135719,,
,8/1/08 13:00,32,Tofino,Tofino,Tofino,Alberni-Clayoquot,49.153549,-125.909568,,
,,24,W 12th & Birch,Fairview,Vancouver,Lower Mainland,49.260323,-123.132037,,
,1/9/11 23:30,27,Port Place Mall Ramp,Nanaimo City Centre,Nanaimo,Nanaimo,49.164375,-123.932562,,
,,11,Broughton Towers,West End,Vancouver,Lower Mainland,49.288725,-123.129957,,
,,22,Stephens & W 3rd,Kitsilano,Vancouver,Lower Mainland,49.269704,-123.166146,,
,,4,Main Street SkyTrain,False Creek,Vancouver,Lower Mainland,49.272521,-123.100764,,
,,44,Keefer,Strathcona,Vancouver,Lower Mainland,49.27932,-123.087474,,
,2/8/08 22:00,7,Sutton Gardens,West End,Vancouver,Lower Mainland,49.284592,-123.131612,,
,,16,Balsam,Kitsilano,Vancouver,Lower Mainland,49.268898,-123.159801,,
,,18,Maple Community Garden,Kitsilano,Vancouver,Lower Mainland,49.26627,-123.150347,,
,5/14/13 16:30,36,Lonsdale & 5th,Lower Lonsdale,North Vancouver,Lower Mainland,49.315352,-123.074305,,
,,10,Horizon,West End,Vancouver,Lower Mainland,49.281281,-123.135695,,
,,28,Guardian Angels,West End,Vancouver,Lower Mainland,49.283907,-123.135372,,
,,38,Kits Beach,Kitsilano,Vancouver,Lower Mainland,49.273308,-123.152365,,
