First Launched,Last Used,Location ID,Location Name,Neighbourhood,City,Region,Latitude,Longitude,,Notes:
4/19/17 9:00,,558,Bay Centre,Downtown Victoria,Victoria,Greater Victoria,48.4251,-123.366514,,
4/13/17 21:30,,551,Oceanside Apartments,West End,Vancouver,Lower Mainland,49.28879,-123.141133,,
4/13/17 17:15,,566,W 10th & Discovery,West Point Grey,Vancouver,Lower Mainland,49.263796,-123.202765,,
4/13/17 17:00,,550,Dieppe,Renfrew-Collingwood,Vancouver,Lower Mainland,49.256374,-123.026516,,
4/10/17 17:00,,565,Sunset Park,Sunset,Vancouver,Lower Mainland,49.223638,-123.096727,,
4/7/17 18:45,,564,Slocan & Vanness,Renfrew-Collingwood,Vancouver,Lower Mainland,49.245664,-123.049687,,
3/24/17 18:00,,554,National & Quebec,False Creek,Vancouver,Lower Mainland,49.274908,-123.101618,,
3/24/17 17:45,,555,Callister Park,Hastings-Sunrise,Vancouver,Lower Mainland,49.28593,-123.044193,,
3/22/17 16:45,,556,E-Comm,Hastings-Sunrise,Vancouver,Lower Mainland,49.280078,-123.033877,,
3/10/17 21:15,,539,Wall Centre Central Park,Renfrew-Collingwood,Vancouver,Lower Mainland,49.233522,-123.023939,,
