"","Hash","Start","End","Latitude","Longitude","location_counter"
"25712","83ce3b6083","5/1/17 0:00","",49.1124927644672,-122.821816476432,0
"25713","ede12f9926","5/1/17 0:00","",49.2904598681674,-123.136239046445,51
"25714","8b3820b064","5/1/17 0:00","",49.2748641338736,-123.028466764747,3
"25715","9d742ba9b4","5/1/17 0:00","6/1/17 0:00",45.4748712635082,-73.6247481484444,0
"25716","25b501788b","5/1/17 0:00","",49.2839051588945,-123.113448110897,31
"25717","46b0923e78","5/1/17 0:00","5/1/17 0:00",49.1995540347943,-122.914944016528,9
"25718","4340e8e68e","5/1/17 0:00","",49.2545059753436,-123.099634043717,22
"25719","94e3bbcfce","5/1/17 0:00","",49.2671027056726,-123.162993588126,20
"25720","d69e094676","5/1/17 0:00","",49.1848735493754,-122.856998282916,6
"25721","14dacdb360","5/1/17 0:00","",49.278264503959,-123.112265274306,35
"25722","6b58be2bb7","5/1/17 0:00","6/1/17 0:00",49.2784072307855,-123.123521639087,50
"25723","f5daa6c730","5/1/17 0:00","",49.1837142461263,-122.80013399136,0
"25724","d85824857f","5/1/17 0:00","",49.2382016655028,-123.024917996152,6
"25725","0e979ec523","5/1/17 0:00","",49.2601689595262,-123.090446269172,22
"25726","a241460a07","5/1/17 0:00","",49.2618322181388,-123.185255851367,10
"25727","6685f40561","5/1/17 0:00","",49.1973881088914,-122.805457123115,0
"25728","200178da19","5/1/17 0:00","",49.3051562002479,-122.827827616563,0
"25729","17912380d1","5/1/17 0:00","",49.2885874002635,-123.047997028967,7
"25730","84d2c2c6d0","5/1/17 0:00","",49.2712037961817,-123.103126324287,17
"25731","110dc8d7a7","5/1/17 0:00","",49.3065779435812,-122.829746184044,0
"25732","e4a8eb5dcd","5/1/17 0:00","",49.1856819880069,-122.848978864079,7
"25733","02b0e34b3e","5/1/17 0:00","5/1/17 0:00",49.2691920142774,-123.13818529077,23
"25734","f1b9eecb0a","5/1/17 0:00","",49.285148269191,-123.046824916298,8
"25735","49a60db0d5","5/1/17 0:00","",49.2866386072038,-123.126788874439,59
"25736","b25bb25171","5/1/17 0:00","6/1/17 0:00",49.2110151051242,-122.917530285699,5
"25737","ef578dbc2e","5/1/17 0:00","",49.2853988851852,-123.131813128332,62
"25738","d8d8e3a9bc","5/1/17 0:00","",49.2726291384687,-123.06148547188,30
"25739","44be826f68","5/1/17 0:00","",49.2526378576335,-123.089820972903,15
"25740","3fa9b38cae","5/1/17 0:00","",49.2805420078107,-123.137489206166,47
"25741","f7a9e2325b","5/1/17 0:00","",48.4199961788462,-123.365530071825,15
"25742","3d602137cf","5/1/17 0:00","",49.2777315920452,-123.12557652555,49
"25743","2d52730b94","5/1/17 0:00","",48.4179596239386,-123.349783908965,9
"25744","4f271c0d23","5/1/17 0:00","",49.2664802803144,-123.176120179506,14
"25745","3d0581d942","5/1/17 0:00","",49.2386704713673,-123.02859460403,6
"25746","274a205fef","5/1/17 0:00","",49.2777942523079,-123.094070024279,19
"25747","f91e0e1c7a","5/1/17 0:00","",49.2685834523571,-123.179530348196,12
"25748","992386dd24","5/1/17 0:00","",49.208779599937,-122.928443198108,5
"25749","5fbd4151e3","5/1/17 0:00","",49.2100294154341,-122.963955067204,5
"25750","98fed63a30","5/1/17 0:00","6/1/17 0:00",49.2928253357988,-122.788092377093,2
"25752","15153b7131","5/1/17 0:00","",49.1839577986471,-122.796248989998,0
"25753","395dc1398f","5/1/17 0:00","",45.2126497652786,-75.6988314979757,0
"25754","d8c58568d7","5/1/17 0:00","",43.546354416664,-79.746883103785,0
"25755","fa3e5f8d69","5/1/17 0:00","",49.2820096095242,-123.131375595944,60
"25756","92e74522e8","5/1/17 0:00","",49.1854892379372,-122.842668956827,7
"25757","c615934aae","5/1/17 0:00","",49.1846851356584,-122.797864932281,0
"25758","bad12584b0","5/1/17 0:00","",49.2044785539874,-122.926282481743,6
"25759","2aaea2fef3","5/1/17 0:00","",49.3023830598023,-122.784613611393,0
"25760","99b6266b04","5/1/17 0:00","",49.2443308953785,-123.053324178713,6
"25763","43e4ac85ea","5/1/17 0:00","",49.2913879976947,-123.14080143582,38
"25764","7b7232e11c","5/1/17 0:00","",48.4156561747871,-123.375176780963,6
"25765","6eae6c3fd5","5/1/17 0:00","",49.1231208606423,-122.910317673492,0
"25766","44f2d690a1","5/1/17 0:00","",49.2785652735012,-123.045584411482,6
"25767","d48ece3129","5/1/17 0:00","",49.2831843920704,-122.923435001345,2
"25768","c8b724e7d9","5/1/17 0:00","",48.4159184757648,-123.358123914884,10
"25769","18ac56f955","5/1/17 0:00","6/1/17 0:00",49.2596927604258,-123.237853749883,16
"25770","3c4ede42f8","5/1/17 0:00","",48.4725344773606,-123.329310942473,1
"25771","8fc7113789","5/1/17 0:00","",49.2486688279082,-122.816565281327,0
"25772","01031a1cf3","5/1/17 0:00","",49.2416001432698,-123.155215470885,2
"25773","0d2581daa7","5/1/17 0:00","",49.2101282186793,-123.125479272108,4
"25774","37cef175c0","5/1/17 0:00","",49.2634014793539,-123.086294011282,19
"25775","1620a2782e","5/1/17 0:00","",48.4161165426947,-123.361967041811,11
"25776","5ba7eca49d","5/1/17 0:00","",49.2700951242903,-123.149776926343,21
"25777","f8d4dd45cc","5/1/17 0:00","",49.285737467354,-123.132694342271,63
"25778","7a9bafa72b","5/1/17 0:00","",49.2137831809541,-123.02954982755,1
"25779","806d8cbaae","5/1/17 0:00","",48.4369884029505,-123.32913360499,2
"25780","de1545ecf8","5/1/17 0:00","5/1/17 0:00",49.2335607218653,-123.010796927678,5
"25781","a007b0e6f9","5/1/17 0:00","",49.3090190888215,-123.035433988628,3
"25782","60af0f4310","5/1/17 0:00","",49.24103444723,-123.069387558078,3
"25783","df4f37c5e8","5/1/17 0:00","",49.2351367481565,-123.007661447012,3
"25784","f299f9f4df","5/1/17 0:00","",48.4268545364012,-123.378138176893,6
"25785","63c7b5bce2","5/1/17 0:00","",49.1871258759108,-122.843190276186,7
"25786","d420857984","5/1/17 0:00","",49.2665614596917,-123.149248868421,28
"25787","f974fc6229","5/1/17 0:00","",48.4536918082527,-123.326758667519,0
"25788","b82614d896","5/1/17 0:00","",49.2789979504759,-123.133541427941,50
"25789","897b7378cb","5/1/17 0:00","",49.034284098915,-123.081914722149,0
"25790","7dab3de0d6","5/1/17 0:00","",49.2691520085381,-123.08804842376,14
"25791","275fbe1d73","5/1/17 0:00","",49.1695901105977,-123.164635506741,0
"25792","683977aea3","5/1/17 0:00","",49.2844662048199,-123.137209528246,64
"25793","f0d8892151","5/1/17 0:00","",49.2681024328733,-123.167194406838,21
"25794","bfd4e8fed0","5/1/17 0:00","5/1/17 0:00",49.2064071579228,-122.988415762691,0
"25796","d71a83c01e","5/1/17 0:00","",49.2815033877783,-123.122702908778,59
"25798","e5971fe175","5/1/17 0:00","5/1/17 0:00",49.246529616401,-123.108438871384,12
"25799","be7639de44","5/1/17 0:00","",49.214873665523,-123.09371042438,1
"25800","31484d8037","5/1/17 0:00","6/1/17 0:00",49.205755576519,-123.122802846496,3
"25801","96a9b44e63","5/1/17 0:00","",49.3442532797501,-123.042771297066,0
"25802","075de9f38a","5/1/17 0:00","",49.2806274924642,-123.138604843861,44
"25803","c191a78ac1","5/1/17 0:00","6/1/17 0:00",49.2591995178445,-123.239998117823,17
"25804","07d468c90d","5/1/17 0:00","5/1/17 0:00",49.232518817244,-123.116407881229,2
"25805","6b14c8c917","5/1/17 0:00","",49.2650628997747,-123.141880046835,28
"25806","0b7dce548c","5/1/17 0:00","",48.4236902295348,-123.336115909909,4
"25807","db3ac4d00d","5/1/17 0:00","",49.2635926045245,-123.005868008137,6
"25808","099661fae6","5/1/17 0:00","",49.260887313793,-123.242027796737,17
"25809","b3cd5a5848","5/1/17 0:00","5/1/17 0:00",49.2769389136116,-123.053129900712,13
"25810","342264d792","5/1/17 0:00","",49.2876892989042,-123.141437993,49
"25811","8aa6bbf96a","5/1/17 0:00","5/1/17 0:00",49.1540378806389,-122.660297080888,0
"25812","c23bcbef92","5/1/17 0:00","",49.2639856235442,-123.147260561791,28
"25813","8482721499","5/1/17 0:00","",49.2042298121005,-122.94750241747,3
"25814","0049fc0e25","5/1/17 0:00","",44.2396168011227,-76.4921390142505,0
"25815","02bb3bab50","5/1/17 0:00","",49.2687196998993,-123.071612454839,34
"25816","5ecd9b47ba","5/1/17 0:00","5/1/17 0:00",49.2793351759148,-123.110228170632,31
"25817","9715761f96","5/1/17 0:00","",49.2297523581268,-123.026897801641,5
"25818","42f7bebc9a","5/1/17 0:00","",49.2427305407057,-123.046670694085,5
"25819","17383e6736","5/1/17 0:00","",49.2842662831635,-123.136136649885,65
"25820","6e4a0d76b4","5/1/17 0:00","",49.2312212175772,-123.006560020003,6
"25821","ac127e3af3","5/1/17 0:00","",49.2885813514426,-123.125968239113,44
"25822","051735b4ee","5/1/17 0:00","",49.2844195784933,-122.789418480799,4
"25823","ce3ace6e10","5/1/17 0:00","",48.4972408929315,-123.383915934042,0
"25824","1b0668fa78","5/1/17 0:00","",49.2539983111532,-123.129371920283,13
"25825","6c3d86cb07","5/1/17 0:00","",48.4274688254859,-123.37100028816,12
"25827","fe15a8ee15","5/1/17 0:00","",49.2926831786546,-123.137011814448,40
"25828","60f1d1cb40","5/1/17 0:00","",49.2564722381253,-122.850116256787,0
"25829","136b956a70","5/1/17 0:00","",49.2708616782614,-123.182427303278,8
"25830","6ecb89241c","5/1/17 0:00","",49.2786334595371,-123.110200321873,33
"25831","5252b341cc","5/1/17 0:00","",48.4314650102641,-123.36682213825,10
"25832","dde9ef3b3a","5/1/17 0:00","",49.267711156735,-123.185735471312,9
"25833","47d45a7cbc","5/1/17 0:00","5/1/17 0:00",43.6058555384466,-79.6908757569301,0
"25834","ad0a3722aa","5/1/17 0:00","",49.2805935522192,-123.12400897265,61
"25835","07fd0517ba","5/1/17 0:00","",49.2822897924651,-123.124260433291,60
"25836","ffd62830da","5/1/17 0:00","",48.4348070291026,-123.34888516095,4
"25837","a27df79e98","5/1/17 0:00","5/1/17 0:00",49.2846096768633,-122.958075824451,0
"25838","35854927d6","5/1/17 0:00","",49.2068217872878,-122.777954899728,0
"25839","13e7d85e2a","5/1/17 0:00","",48.4164430126988,-123.385455787938,3
"25840","c7eb540835","5/1/17 0:00","",49.2608553184615,-123.109292827649,30
"25842","742a5e907e","5/1/17 0:00","",49.2718393637775,-122.949344505372,0
"25843","e773a95e85","5/1/17 0:00","",49.2735182653368,-123.116954652742,33
"25844","0a71c92b6c","5/1/17 0:00","",48.4284843527807,-123.356211182445,15
"25845","95cc4bdc2d","5/1/17 0:00","",49.1744248677218,-123.143185931695,3
"25846","0803434662","5/1/17 0:00","",49.2508793151076,-123.061030743493,7
"25847","b1815c61ae","5/1/17 0:00","",49.255153543722,-123.251211003741,6
"25848","a1042123ca","5/1/17 0:00","6/1/17 0:00",49.1712972524709,-122.891222744382,0
"25849","787ae29d95","5/1/17 0:00","",49.2612522557007,-123.247801922322,15
"25850","635e099a62","5/1/17 0:00","",49.2667316160374,-123.104865886503,30
"25851","29ac47a452","5/1/17 0:00","",48.444630814113,-123.34326845252,1
"25852","82c4c0e781","5/1/17 0:00","",49.2570764966809,-123.187450620521,6
